
y	mTm0	 Proton		Deuteron	Pion		Electron
-1.5     0.3875     0.627495 +- 0.0124074      0.251431 +- 0.0171878     0.121074 +- 0.0234433      0  
-1.5     0.4125     0.606661 +- 0.0123354      0.285188 +- 0.016091     0.108151 +- 0.0242633      0  
-1.5     0.4375     0.610896 +- 0.0122618      0.295867 +- 0.0158029     0.0932365 +- 0.0258564      0  
-1.5     0.4625     0.63812 +- 0.0122068      0.27556 +- 0.0163916     0.0863198 +- 0.0270273      0  
-1.5     0.4875     0.604318 +- 0.0126829      0.315989 +- 0.0158853     0.0796924 +- 0.0286515      0  
-1.5     0.5125     0.59839 +- 0.0130617      0.332918 +- 0.0159913     0.0686922 +- 0.0315227      0  
-1.5     0.5375     0.690107 +- 0.0132697      0.245409 +- 0.0191017     0.0644838 +- 0.0344514      0  
-1.5     0.5625     0.590829 +- 0.013678      0.357594 +- 0.0162417     0.0515773 +- 0.0376386      0  
-1.5     0.5875     0.586076 +- 0.0140858      0.364983 +- 0.0165586     0.0489408+- 0.0396403      0  
-1.5     0.6125     0.577932 +- 0.0146191      0.384329 +- 0.0167912     0.0377384+- 0.0463946      0  
-1.5     0.6375     0.599665 +- 0.0152966      0.36648 +- 0.0180847     0.0338551 +- 0.051755      0  
-1.5     0.6625     0.657276 +- 0.0152645      0.305997 +- 0.0198597     0.0367274 +- 0.0510736      0  
-1.5     0.6875     0.562883 +- 0.0162309      0.409939 +- 0.0180647     0.0271781 +- 0.0598829      0  
-1.5     0.7125     0.546643 +- 0.0169323      0.433701 +- 0.0183024     0.0196564 +- 0.0725017      0  
-1.5     0.7375     0.582635 +- 0.0171029      0.395329 +- 0.0194956     0.0220359 +- 0.0706716      0  
-1.5     0.7625     0.555363 +- 0.017781      0.425792 +- 0.0194428     0.0188447 +- 0.0781247      0  
-1.5     0.7875     0.530841 +- 0.0187146      0.455474 +- 0.0197001     0.0136852 +- 0.0948468      0  
-1.5     0.8125     0.53225 +- 0.019458      0.453259 +- 0.0205348     0.0144905 +- 0.0959566      0  
-1.5     0.8375     0.562223 +- 0.0201337      0.425761 +- 0.0221027     0.0120163 +- 0.110845      0  
-1.5     0.8625     0.527801 +- 0.0213788      0.464038 +- 0.0223195     0.0081613 +- 0.139659      0  
-1.5     0.8875     0.548172 +- 0.0222775      0.443058 +- 0.0239236     0.00876997 +- 0.142171      0  
-1.5     0.9125     0.488022 +- 0.024029      0.501593 +- 0.0238095     0.0103846 +- 0.135737      0  
-1.5     0.9375     0.53094 +- 0.0241047      0.460363 +- 0.0252828     0.00869634 +- 0.152883      0  
-1.5     0.9625     0.540482 +- 0.0246924      0.452738 +- 0.0261997     0.00677952 +- 0.178235      0  
-1.5     0.9875     0.506043 +- 0.0263553      0.490457 +- 0.0266319     0.00350055 +- 0.258663      0  
-1.4     0.1625     0.640803 +- 0.0980923      0.0239464 +- 0.400855     0.335251 +- 0.122339      2.81078e-08 +- 365.642
-1.4     0.1875     0.688866 +- 0.0347531      0.0258082 +- 0.139932     0.285326 +- 0.0471085      0  
-1.4     0.2125     0.717919 +- 0.0177953      0.0350102 +- 0.0625485     0.247071 +- 0.025845      0  
-1.4     0.2375     0.729938 +- 0.0116551      0.0519067 +- 0.0340818     0.218156 +- 0.0178901      0  
-1.4     0.2625     0.740626 +- 0.00960266      0.0643093 +- 0.0254821     0.195065 +- 0.015504      0  
-1.4     0.2875     0.750782 +- 0.00878166      0.0760044 +- 0.0216374     0.173214 +- 0.0149663      0  
-1.4     0.3125     0.743314 +- 0.00867068      0.104061 +- 0.0184418     0.152625 +- 0.015559      0  
-1.4     0.3375     0.741036 +- 0.00915733      0.112491 +- 0.0187877     0.146473 +- 0.0167143      0  
