
y	mTm0	 Proton		Deuteron	Pion		Electron
-1     0.4125     0.863459 +- 0.00785529      1.02788e-05 +- 1.66784     0.13653 +- 0.0154276      0  
-1     0.4375     0.867543 +- 0.00824776      2.1039e-05 +- 1.22557     0.132436 +- 0.0164381      0  
-1     0.4625     0.882991 +- 0.00860692      4.13266e-05 +- 0.916846     0.116967 +- 0.0182133      0  
-1     0.4875     0.894675 +- 0.00897636      7.22323e-05 +- 0.725798     0.105252 +- 0.0199885      0  
-1     0.5125     0.897979 +- 0.00942529      0.0001013 +- 0.644168     0.10192 +- 0.0213171      0  
-1     0.5375     0.909252 +- 0.00992577      0.000199977 +- 0.484427     0.0905483 +- 0.0237715      0  
-1     0.5625     0.918351 +- 0.0103524      0.000335128 +- 0.391335     0.0813139 +- 0.0261201      0  
-1     0.5875     0.927835 +- 0.010851      0.000622102 +- 0.301908     0.0715427 +- 0.0291335      0  
-1     0.6125     0.931872 +- 0.0114915      0.00126617 +- 0.224437     0.0668619 +- 0.0318809      0  
-1     0.6375     0.937494 +- 0.0120479      0.00138571 +- 0.225289     0.0611207 +- 0.0349192      0  
-1     0.6625     0.937678 +- 0.0126563      0.00315864 +- 0.156901     0.0591632 +- 0.0372518      0  
-1     0.6875     0.943131 +- 0.0134572      0.0043494 +- 0.142468     0.0525198 +- 0.0419705      0  
-1     0.7125     0.946386 +- 0.0142942      0.00832787 +- 0.109676     0.0452858 +- 0.0478866      0  
-1     0.7375     0.94161 +- 0.0148947      0.012974 +- 0.0916535     0.0454155 +- 0.0497655      0  
-1     0.7625     0.943141 +- 0.0156095      0.0137183 +- 0.0934831     0.0431408 +- 0.053475      0  
-1     0.7875     0.942491 +- 0.0165319      0.0228335 +- 0.0770721     0.0346758 +- 0.0629028      0  
-1     0.8125     0.929647 +- 0.0175055      0.0364644 +- 0.0647795     0.0338888 +- 0.0671126      0  
-1     0.8375     0.934255 +- 0.0185352      0.0371408 +- 0.0680717     0.0286041 +- 0.0772473      0  
-1     0.8625     0.922869 +- 0.0196494      0.0502894 +- 0.0622102     0.0268413 +- 0.0841966      0  
-1     0.8875     0.916965 +- 0.0207771      0.058849 +- 0.0609539     0.0241857 +- 0.0935114      0  
-1     0.9125     0.900727 +- 0.0220873      0.0774002 +- 0.0567279     0.0218731 +- 0.103925      0  
-1     0.9375     0.898552 +- 0.0232523      0.0821229 +- 0.0580675     0.0193249 +- 0.116178      0  
-1     0.9625     0.901817 +- 0.0245074      0.0833206 +- 0.060852     0.0148621 +- 0.139456      0  
-1     0.9875     0.874761 +- 0.026054      0.10896 +- 0.0567766     0.016279 +- 0.140617      0  
-0.9     0.0625     0.76982 +- 0.00862675      1.47216e-11 +- 1482.86     0.109083 +- 0.0181418      0.121097 +- 0.0173114
-0.9     0.0875     0.84323 +- 0.00644977      2.63851e-13 +- 8492.75     0.0862798 +- 0.015479      0.0704898 +- 0.0170003
-0.9     0.1125     0.890335 +- 0.00601481      4.91818e-15 +- 58861     0.0782195 +- 0.0153259      0.0314453 +- 0.0236415
-0.9     0.1375     0.883226 +- 0.00582686      8.05999e-16 +- 140557     0.103524 +- 0.0130284      0.0132503 +- 0.0348951
-0.9     0.1625     0.860545 +- 0.0058087      4.4775e-16 +- 186693     0.129271 +- 0.011676      0.0101842 +- 0.0393443
-0.9     0.1875     0.83427 +- 0.00591634      1.06548e-15 +- 122237     0.160113 +- 0.0107402      0.00561722 +- 0.0533864
-0.9     0.2125     0.811553 +- 0.00604058      8.18956e-15 +- 44676.7     0.185122 +- 0.0102297      0.00332452 +- 0.0702372
-0.9     0.2375     0.794822 +- 0.00615885      1.40345e-13 +- 10940.2     0.201664 +- 0.0100046      0.00351497 +- 0.0692508
-0.9     0.2625     0.800863 +- 0.00627644      2.54206e-12 +- 2625.18     0.196995 +- 0.0103174      0.00214233 +- 0.0905261
-0.9     0.2875     0.798372 +- 0.006499      4.84861e-11 +- 621.872     0.199362 +- 0.010621      0.00226605 +- 0.0910681
-0.9     0.3125     0.811375 +- 0.0066998      5.34791e-10 +- 193.899     0.187899 +- 0.0112745      0.000726191 +- 0.166457
-0.9     0.3375     0.816533 +- 0.00699262      8.0853e-09 +- 52.1384     0.183467 +- 0.0119071      0  
-0.9     0.3625     0.834295 +- 0.00723179      5.57183e-08 +- 20.662     0.165705 +- 0.0129359      0  
-0.9     0.3875     0.843407 +- 0.00758811      2.93144e-07 +- 9.47984     0.156593 +- 0.0139491      0  
-0.9     0.4125     0.850357 +- 0.00802343      1.35657e-06 +- 4.66994     0.149642 +- 0.015076      0  
-0.9     0.4375     0.871218 +- 0.00833109      4.16984e-06 +- 2.78384     0.128778 +- 0.0168301      0  
-0.9     0.4625     0.880833 +- 0.00872247      1.08566e-05 +- 1.81162     0.119156 +- 0.0182935      0  
-0.9     0.4875     0.887519 +- 0.00921054      3.94965e-05 +- 1.00498     0.112441 +- 0.0198657      0  
-0.9     0.5125     0.89587 +- 0.00972557      6.34164e-05 +- 0.83955     0.104066 +- 0.0217759      0  
-0.9     0.5375     0.9059 +- 0.0102165      0.000152385 +- 0.570631     0.0939472 +- 0.0240353      0  
-0.9     0.5625     0.906362 +- 0.0108196      0.000234428 +- 0.487309     0.0934033 +- 0.0255251      0  
-0.9     0.5875     0.91514 +- 0.0113719      0.000375438 +- 0.40578     0.0844845 +- 0.0281644      0  
-0.9     0.6125     0.926598 +- 0.0119227      0.00085964 +- 0.282131     0.0725426 +- 0.0317932      0  
-0.9     0.6375     0.924642 +- 0.0126221      0.00114344 +- 0.258872     0.0742141 +- 0.0332849      0  
-0.9     0.6625     0.929422 +- 0.0134689      0.0020651 +- 0.205922     0.0685128 +- 0.0369173      0  
-0.9     0.6875     0.935767 +- 0.0141191      0.00333253 +- 0.170333     0.0609006 +- 0.0409723      0  
-0.9     0.7125     0.939618 +- 0.0148688      0.00423903 +- 0.159286     0.0561425 +- 0.0448857      0  
-0.9     0.7375     0.944162 +- 0.0157412      0.00667411 +- 0.134723     0.0491644 +- 0.0506747      0  
-0.9     0.7625     0.945616 +- 0.0166936      0.00894352 +- 0.123611     0.0454403 +- 0.0558224      0  
-0.9     0.7875     0.942795 +- 0.0176328      0.0122467 +- 0.111674     0.0449587 +- 0.0592189      0  
-0.9     0.8125     0.945145 +- 0.0188316      0.0176998 +- 0.0995372     0.037155 +- 0.0693543      0  
-0.9     0.8375     0.936612 +- 0.0199393      0.0251103 +- 0.0885989     0.0382779 +- 0.0722191      0  
-0.9     0.8625     0.944018 +- 0.0210011      0.0223341 +- 0.0990134     0.0336477 +- 0.081113      0  
-0.9     0.8875     0.93452 +- 0.0221141      0.0332996 +- 0.085619     0.0321807 +- 0.0870475      0  
-0.9     0.9125     0.936581 +- 0.0233174      0.039504 +- 0.0831817     0.0239147 +- 0.106105      0  
-0.9     0.9375     0.91863 +- 0.0249943      0.0555991 +- 0.0753583     0.025771 +- 0.109113      0  
-0.9     0.9625     0.923657 +- 0.0264673      0.0560134 +- 0.0796325     0.0203294 +- 0.12993      0  
-0.9     0.9875     0.91944 +- 0.0279454      0.0805603 +- 0.0708351     0      0    
-0.8     0.0625     0.890327 +- 0.00677441      3.39421e-18 +- 2.52353e+06     0.000978139 +- 0.148727      0.108695 +- 0.0148484
-0.8     0.0875     0.938515 +- 0.00596642      3.07285e-20 +- 2.36826e+07     0.00139796 +- 0.111111      0.0600867 +- 0.0174374
-0.8     0.1125     0.961206 +- 0.00572564      1.3988e-21 +- 1.07175e+08     0.00279006 +- 0.0759922      0.0360043 +- 0.0215018
-0.8     0.1375     0.970115 +- 0.00579736      9.2545e-22 +- 1.33727e+08     0.00715711 +- 0.0482587      0.0227277 +- 0.0272897
-0.8     0.1625     0.966913 +- 0.00594286      5.27241e-21 +- 5.73842e+07     0.0175032 +- 0.0317692      0.0155834 +- 0.0336375
-0.8     0.1875     0.952462 +- 0.00604654      2.19954e-19 +- 9.00479e+06     0.0367947 +- 0.0224178      0.0107435 +- 0.0409626
-0.8     0.2125     0.929798 +- 0.00614979      1.37388e-17 +- 1.15166e+06     0.0635989 +- 0.0174567      0.00660288 +- 0.0527061
-0.8     0.2375     0.902793 +- 0.00625918      1.26394e-15 +- 121270     0.0919909 +- 0.0148543      0.005216 +- 0.0598517
-0.8     0.2625     0.875496 +- 0.00644391      6.1842e-14 +- 17704.2     0.121081 +- 0.0133967      0.00342304 +- 0.0753797
-0.8     0.2875     0.858403 +- 0.0066238      1.33385e-12 +- 3897.88     0.139306 +- 0.0128741      0.00229054 +- 0.0941695
-0.8     0.3125     0.850695 +- 0.00685633      2.27944e-11 +- 973.639     0.146452 +- 0.0130059      0.00285307 +- 0.0871513
-0.8     0.3375     0.855144 +- 0.00710282      4.86568e-10 +- 218.62     0.144856 +- 0.0135572      0  
-0.8     0.3625     0.855449 +- 0.00743755      2.91425e-09 +- 93.549     0.144551 +- 0.0142105      0  
-0.8     0.3875     0.858247 +- 0.00781447      1.62533e-08 +- 41.6566     0.141753 +- 0.0150721      0  
-0.8     0.4125     0.870034 +- 0.0081948      9.76598e-08 +- 17.8864     0.129966 +- 0.0164816      0  
-0.8     0.4375     0.871595 +- 0.00865807      3.03169e-07 +- 10.7308     0.128404 +- 0.0175152      0  
-0.8     0.4625     0.884471 +- 0.00911027      8.00053e-07 +- 6.97781     0.115528 +- 0.0193943      0  
-0.8     0.4875     0.888524 +- 0.00954832      2.07912e-06 +- 4.54214     0.111474 +- 0.0206806      0  
-0.8     0.5125     0.898709 +- 0.0100768      4.66808e-06 +- 3.20875     0.101287 +- 0.0228601      0  
-0.8     0.5375     0.903165 +- 0.0106637      1.43799e-05 +- 1.93721     0.0968208 +- 0.0247249      0  
-0.8     0.5625     0.90538 +- 0.0111      1.87741e-05 +- 1.76593     0.0946013 +- 0.0260272      0  
-0.8     0.5875     0.914514 +- 0.0117017      4.85057e-05 +- 1.16126     0.0854379 +- 0.0288264      0  
-0.8     0.6125     0.924388 +- 0.012302      8.66206e-05 +- 0.916145     0.0755254 +- 0.0321751      0  
-0.8     0.6375     0.925487 +- 0.0130569      0.00015398 +- 0.729548     0.0743595 +- 0.034408      0  
-0.8     0.6625     0.937527 +- 0.0137774      0.000267286 +- 0.586282     0.0622056 +- 0.0396028      0  
-0.8     0.6875     0.934865 +- 0.0144953      0.00040456 +- 0.501039     0.06473 +- 0.0408642      0  
-0.8     0.7125     0.944738 +- 0.0152328      0.000681619 +- 0.406802     0.0545805 +- 0.0466688      0  
-0.8     0.7375     0.943115 +- 0.0162619      0.00114592 +- 0.334871     0.0557394 +- 0.0493064      0  
-0.8     0.7625     0.94792 +- 0.0173375      0.00165445 +- 0.297591     0.0504259 +- 0.0552006      0  
-0.8     0.7875     0.947965 +- 0.0181662      0.00268343 +- 0.244967     0.0493514 +- 0.0584362      0  
-0.8     0.8125     0.946751 +- 0.0194651      0.00410126 +- 0.212397     0.049148 +- 0.0627168      0  
-0.8     0.8375     0.951722 +- 0.0206457      0.00470722 +- 0.210627     0.0435712 +- 0.0705567      0  
-0.8     0.8625     0.961745 +- 0.0213748      0.00515629 +- 0.208958     0.0330985 +- 0.0836139      0  
-0.8     0.8875     0.956029 +- 0.0234011      0.00919333 +- 0.171409     0.0347773 +- 0.08924      0  
-0.8     0.9125     0.962613 +- 0.024625      0.0133894 +- 0.150035     0.0239974 +- 0.112656      0  
-0.8     0.9375     0.952449 +- 0.0261689      0.0119554 +- 0.168157     0.0355956 +- 0.0985857      0  
-0.8     0.9625     0.941814 +- 0.0278382      0.0247519 +- 0.124746     0.033434 +- 0.107787      0  
-0.8     0.9875     0.936083 +- 0.0299976      0.0340147 +- 0.115003     0.029902 +- 0.122413      0  
-0.7     0.0625     0.971154 +- 0.00612071      8.77833e-28 +- 1.45004e+11     2.89418e-07 +- 7.98588      0.028846 +- 0.0256577
-0.7     0.0875     0.970784 +- 0.00568522      8.37352e-28 +- 1.37891e+11     3.88089e-06 +- 2.02546      0.0292118 +- 0.0236844
-0.7     0.1125     0.972275 +- 0.00569374      4.22023e-27 +- 6.15376e+10     2.9797e-05 +- 0.732367      0.0276953 +- 0.0243522
-0.7     0.1375     0.977709 +- 0.00573447      1.86549e-25 +- 9.33513e+09     0.000192806 +- 0.290401      0.0220977 +- 0.0274213
-0.7     0.1625     0.982918 +- 0.00585288      2.24755e-23 +- 8.69204e+08     0.000982137 +- 0.131554      0.0160995 +- 0.0327369
-0.7     0.1875     0.984103 +- 0.00599743      2.46586e-21 +- 8.50588e+07     0.00359911 +- 0.0705319      0.0122976 +- 0.0383219
-0.7     0.2125     0.981536 +- 0.00620248      7.24576e-19 +- 5.12833e+06     0.00980142 +- 0.0443089      0.00866242 +- 0.0471054
-0.7     0.2375     0.971538 +- 0.00643901      3.5656e-17 +- 756973     0.0224628 +- 0.0304957      0.00599955 +- 0.058531
-0.7     0.2625     0.955837 +- 0.00662786      1.16625e-15 +- 135676     0.0378547 +- 0.0242609      0.0063082 +- 0.058521
-0.7     0.2875     0.940035 +- 0.00686979      4.60252e-14 +- 22290.1     0.0564213 +- 0.0206922      0.00354333 +- 0.0804772
-0.7     0.3125     0.923851 +- 0.00711017      4.93502e-13 +- 7013.76     0.0736804 +- 0.0188086      0.00246886 +- 0.0992846
-0.7     0.3375     0.913007 +- 0.00737412      5.63182e-12 +- 2146.67     0.0869932 +- 0.0180078      0  
-0.7     0.3625     0.899037 +- 0.0076817      3.89749e-11 +- 846.616     0.100963 +- 0.0174536      0  
-0.7     0.3875     0.894391 +- 0.00800723      1.62806e-10 +- 431.198     0.105609 +- 0.0178017      0  
-0.7     0.4125     0.891355 +- 0.00838036      7.73073e-10 +- 206.915     0.108645 +- 0.0183777      0  
-0.7     0.4375     0.895472 +- 0.00878187      3.26682e-09 +- 105.607     0.104528 +- 0.0196212      0  
-0.7     0.4625     0.894458 +- 0.00926508      1.21904e-08 +- 57.6604     0.105542 +- 0.0206045      0  
-0.7     0.4875     0.904863 +- 0.00970205      3.78555e-08 +- 34.3683     0.0951367 +- 0.0226873      0  
-0.7     0.5125     0.904873 +- 0.0102498      1.73483e-07 +- 16.9608     0.0951264 +- 0.0239695      0  
-0.7     0.5375     0.910711 +- 0.0110303      3.31007e-07 +- 13.2361     0.0892891 +- 0.0265982      0  
-0.7     0.5625     0.908961 +- 0.0116887      1.14213e-06 +- 7.54715     0.0910382 +- 0.0279221      0  
-0.7     0.5875     0.918962 +- 0.0123067      2.62198e-06 +- 5.25947     0.0810352 +- 0.0311056      0  
-0.7     0.6125     0.927192 +- 0.0130507      5.48376e-06 +- 3.8656     0.0728022 +- 0.034749      0  
-0.7     0.6375     0.92654 +- 0.0138932      1.2783e-05 +- 2.69483     0.0734475 +- 0.0368338      0  
-0.7     0.6625     0.934729 +- 0.0147862      2.67839e-05 +- 1.98591     0.0652444 +- 0.0415282      0  
-0.7     0.6875     0.942654 +- 0.0156723      6.23892e-05 +- 1.3822     0.0572834 +- 0.0469022      0  
-0.7     0.7125     0.944279 +- 0.0167909      0.000128551 +- 1.03213     0.0555922 +- 0.0509902      0  
-0.7     0.7375     0.943732 +- 0.0179633      0.000158819 +- 0.993288     0.0561096 +- 0.0543034      0  
-0.7     0.7625     0.950342 +- 0.0191816      0.000265681 +- 0.821574     0.049392 +- 0.0617177      0  
-0.7     0.7875     0.949443 +- 0.0201206      0.000416272 +- 0.68837     0.0501412 +- 0.0642609      0  
-0.7     0.8125     0.954523 +- 0.0218608      0.000540863 +- 0.657073     0.044936 +- 0.0736695      0  
-0.7     0.8375     0.965726 +- 0.0230242      0.0010132 +- 0.507249     0.0332612 +- 0.0899468      0  
-0.7     0.8625     0.96298 +- 0.0246176      0.00141455 +- 0.458768     0.0356055 +- 0.0929895      0  
-0.7     0.8875     0.967626 +- 0.0260683      0.00270046 +- 0.352259     0.0296733 +- 0.107687      0  
-0.7     0.9125     0.962918 +- 0.0280243      0.00296801 +- 0.360819     0.0341143 +- 0.108067      0  
-0.7     0.9375     0.996105 +- 0.0294236      0.00389509 +- 0.333689     0      0  
-0.7     0.9625     0.98983 +- 0.0328231      0.0101699 +- 0.230723     0      0  
-0.7     0.9875     0.982324 +- 0.0345392      0.0176756 +- 0.184489     0      0  
-0.6     0.0625     0.998884 +- 0.00578152      2.34205e-38 +- 2.67059e+16     8.01109e-11 +- 456.625      0.00111565 +- 0.122429
-0.6     0.0875     0.996421 +- 0.00559838      1.79033e-34 +- 2.95591e+14     2.89151e-09 +- 73.5521      0.00357881 +- 0.0662315
-0.6     0.1125     0.991717 +- 0.00556521      1.57661e-30 +- 3.12752e+12     9.24732e-08 +- 12.9138      0.00828249 +- 0.0433283
-0.6     0.1375     0.989039 +- 0.00567944      2.3358e-27 +- 8.28654e+10     1.82014e-06 +- 2.96851      0.0109595 +- 0.0384646
-0.6     0.1625     0.989998 +- 0.0058343      1.12367e-24 +- 3.88204e+09     1.64322e-05 +- 1.01516      0.00998587 +- 0.0413851
-0.6     0.1875     0.991959 +- 0.00599145      2.10053e-22 +- 2.91725e+08     0.000101208 +- 0.420293      0.00794022 +- 0.0476365
-0.6     0.2125     0.99206 +- 0.00620076      1.14998e-20 +- 4.08055e+07     0.000459165 +- 0.204258      0.00748068 +- 0.0507821
-0.6     0.2375     0.992063 +- 0.00644224      4.87873e-19 +- 6.50881e+06     0.00167269 +- 0.111253      0.00626439 +- 0.0576198
-0.6     0.2625     0.990577 +- 0.00666153      8.40244e-18 +- 1.62116e+06     0.00459642 +- 0.0694727      0.004827 +- 0.0678009
-0.6     0.2875     0.985115 +- 0.00697533      1.99128e-16 +- 348217     0.010553 +- 0.0480847      0.00433194 +- 0.0748191
-0.6     0.3125     0.975987 +- 0.00731919      1.9726e-15 +- 115817     0.0207 +- 0.0361207      0.0033129 +- 0.0895174
-0.6     0.3375     0.967534 +- 0.00767575      1.68731e-14 +- 41437.7     0.0324656 +- 0.0303542      0  
-0.6     0.3625     0.953049 +- 0.00812056      1.23187e-13 +- 16162.3     0.0469512 +- 0.0267872      0  
-0.6     0.3875     0.944621 +- 0.00854302      7.10793e-13 +- 7062.38     0.0553794 +- 0.0259928      0  
-0.6     0.4125     0.932319 +- 0.00903519      2.61758e-12 +- 3879.09     0.067681 +- 0.0249269      0  
-0.6     0.4375     0.923919 +- 0.0095312      2.67812e-11 +- 1276.31     0.0760807 +- 0.0248403      0  
-0.6     0.4625     0.923495 +- 0.0100745      8.79171e-11 +- 744.493     0.0765047 +- 0.0261855      0  
-0.6     0.4875     0.9201 +- 0.0106904      5.15389e-10 +- 325.975     0.0798995 +- 0.0272064      0  
-0.6     0.5125     0.918405 +- 0.0114645      1.63984e-09 +- 195.886     0.0815952 +- 0.0288804      0  
-0.6     0.5375     0.920248 +- 0.0120945      6.08839e-09 +- 107.303     0.0797521 +- 0.0308072      0  
-0.6     0.5625     0.921354 +- 0.0128013      2.67406e-08 +- 54.2097     0.0786463 +- 0.0328294      0  
-0.6     0.5875     0.92766 +- 0.0138164      8.48622e-08 +- 32.9016     0.0723403 +- 0.036902      0  
-0.6     0.6125     0.939892 +- 0.0144864      2.53444e-07 +- 20.0295     0.0601079 +- 0.0423467      0  
-0.6     0.6375     0.93578 +- 0.0156107      8.57184e-07 +- 11.7232     0.0642193 +- 0.0441839      0  
-0.6     0.6625     0.936963 +- 0.016727      2.23524e-06 +- 7.78138     0.0630347 +- 0.0477752      0  
-0.6     0.6875     0.940661 +- 0.0179652      4.07591e-06 +- 6.19529     0.0593347 +- 0.0528489      0  
-0.6     0.7125     0.951459 +- 0.0191221      9.49905e-06 +- 4.33224     0.0485318 +- 0.0620623      0  
-0.6     0.7375     0.94689 +- 0.020291      2.17082e-05 +- 3.03721     0.0530886 +- 0.0630252      0  
-0.6     0.7625     0.955154 +- 0.0217986      3.44503e-05 +- 2.59589     0.0448114 +- 0.0735699      0  
-0.6     0.7875     0.964594 +- 0.0231561      6.62623e-05 +- 1.99334     0.0353401 +- 0.0878231      0  
-0.6     0.8125     0.965736 +- 0.0250737      0.000102296 +- 1.73771     0.0341616 +- 0.0966964      0  
-0.6     0.8375     0.968261 +- 0.0268919      0.000144408 +- 1.56968     0.0315945 +- 0.107777      0  
-0.6     0.8625     0.999778 +- 0.0284284      0.000222406 +- 1.348     0      0  
-0.6     0.8875     0.999745 +- 0.0302164      0.00025538 +- 1.3371     0      0  
-0.6     0.9125     0.999413 +- 0.0325627      0.000587345 +- 0.950215     0      0  
-0.6     0.9375     0.999097 +- 0.0344659      0.000903135 +- 0.811141     0      0  
-0.6     0.9625     0.998836 +- 0.0390252      0.0011638 +- 0.809127     0      0  
-0.6     0.9875     0.997898 +- 0.0403505      0.0021015 +- 0.622725     0      0  
-0.5     0.0625     0.999998 +- 0.00555816      5.17147e-40 +- 1.72826e+17     4.39465e-15 +- 59286.2      2.11551e-06 +- 2.70215
-0.5     0.0875     0.99993 +- 0.00539643      2.08023e-35 +- 8.3662e+14     7.52841e-13 +- 4397.76      6.95683e-05 +- 0.457502
-0.5     0.1125     0.99949 +- 0.00546913      9.23866e-32 +- 1.27217e+13     4.66551e-11 +- 566.107      0.000510213 +- 0.171231
-0.5     0.1375     0.998149 +- 0.00555707      4.65337e-29 +- 5.75766e+11     1.63888e-09 +- 97.0189      0.00185104 +- 0.0913741
-0.5     0.1625     0.994413 +- 0.00575366      7.59101e-27 +- 4.66305e+10     3.72757e-08 +- 21.043      0.00558667 +- 0.0545071
-0.5     0.1875     0.993903 +- 0.00599505      4.54159e-25 +- 6.28071e+09     5.55415e-07 +- 5.67942      0.0060966 +- 0.0543737
-0.5     0.2125     0.995887 +- 0.00630938      1.5528e-23 +- 1.13101e+09     5.47452e-06 +- 1.90481      0.00410721 +- 0.0696851
-0.5     0.2375     0.995824 +- 0.00662924      4.65216e-22 +- 2.17103e+08     3.97103e-05 +- 0.743107      0.00413675 +- 0.072956
-0.5     0.2625     0.996081 +- 0.00703595      5.89734e-21 +- 6.47222e+07     0.000213752 +- 0.339995      0.00370523 +- 0.0818044
-0.5     0.2875     0.996323 +- 0.00742152      1.26848e-19 +- 1.4721e+07     0.000860243 +- 0.178836      0.00281701 +- 0.0989224
-0.5     0.3125     0.995454 +- 0.00789019      1.9964e-18 +- 3.94415e+06     0.00264211 +- 0.108561      0.00190431 +- 0.127827
-0.5     0.3375     0.993422 +- 0.0083398      2.07037e-17 +- 1.2939e+06     0.0065776 +- 0.0728304      0  
-0.5     0.3625     0.98744 +- 0.00887632      2.06293e-16 +- 435611     0.01256 +- 0.0561767      0  
-0.5     0.3875     0.979537 +- 0.00944623      2.26684e-15 +- 139565     0.0204629 +- 0.0469248      0  
-0.5     0.4125     0.972123 +- 0.00999028      1.41618e-14 +- 58940.3     0.027877 +- 0.0425911      0  
-0.5     0.4375     0.959366 +- 0.0107389      1.28977e-13 +- 20923.6     0.0406344 +- 0.0380273      0  
-0.5     0.4625     0.954841 +- 0.0113046      1.3142e-12 +- 6891.83     0.0451588 +- 0.0380089      0  
-0.5     0.4875     0.945379 +- 0.012096      5.03721e-12 +- 3757.05     0.0546206 +- 0.037052      0  
-0.5     0.5125     0.944057 +- 0.0129567      2.92257e-11 +- 1670.16     0.055943 +- 0.0392272      0  
-0.5     0.5375     0.944591 +- 0.013835      1.33807e-10 +- 833.58     0.0554086 +- 0.0420832      0  
-0.5     0.5625     0.944807 +- 0.0146167      6.37201e-10 +- 403.593     0.0551927 +- 0.0445458      0  
-0.5     0.5875     0.946149 +- 0.015758      2.62859e-09 +- 214.304     0.0538508 +- 0.0486055      0  
-0.5     0.6125     0.948873 +- 0.0168063      1.02031e-08 +- 116.096     0.0511272 +- 0.0531723      0  
-0.5     0.6375     0.946364 +- 0.0179973      3.08995e-08 +- 71.3918     0.0536358 +- 0.0556213      0  
-0.5     0.6625     0.942371 +- 0.0194921      9.97251e-08 +- 42.9934     0.0576286 +- 0.0581636      0  
-0.5     0.6875     0.949371 +- 0.0209729      2.46527e-07 +- 29.478     0.0506291 +- 0.0666736      0  
-0.5     0.7125     0.956025 +- 0.0225101      5.15267e-07 +- 21.9234     0.0439741 +- 0.076678      0  
-0.5     0.7375     0.955921 +- 0.0244003      9.62144e-07 +- 17.3905     0.0440783 +- 0.0830205      0  
-0.5     0.7625     0.958067 +- 0.0256101      2.03926e-06 +- 12.5447     0.041931 +- 0.0892992      0  
-0.5     0.7875     0.955374 +- 0.0278594      5.38482e-06 +- 8.39188     0.0446207 +- 0.0942225      0  
-0.5     0.8125     0.999986 +- 0.0300668      1.41871e-05 +- 5.64451     0      0  
-0.5     0.8375     0.999985 +- 0.0320102      1.47915e-05 +- 5.8853     0      0  
-0.5     0.8625     0.999938 +- 0.0349221      6.20047e-05 +- 3.13602     0      0  
-0.5     0.8875     0.999897 +- 0.0374552      0.000102979 +- 2.60996     0      0  
-0.5     0.9125     0.999727 +- 0.0391842      0.000273233 +- 1.67633     0      0  
-0.5     0.9375     0.999648 +- 0.0455608      0.000351711 +- 1.71799     0      0  
-0.5     0.9625     0.999109 +- 0.0478397      0.000891139 +- 1.13344     0      0  
-0.5     0.9875     0.998638 +- 0.0510863      0.00136193 +- 0.979175     0      0  
-0.4     0.0625     1 +- 0.00535748      4.32125e-38 +- 1.82239e+16     1.23651e-19 +- 1.07732e+07      6.27719e-11 +- 478.148
-0.4     0.0875     1 +- 0.00524833      1.94751e-36 +- 2.6593e+15     2.05011e-17 +- 819629      5.04004e-08 +- 16.5306
-0.4     0.1125     0.999994 +- 0.00537853      1.707e-34 +- 2.91093e+14     1.98292e-15 +- 85407.5      6.39913e-06 +- 1.50345
-0.4     0.1375     0.999881 +- 0.0056201      1.74083e-32 +- 3.01189e+13     1.32857e-13 +- 10902.5      0.000118506 +- 0.365066
-0.4     0.1625     0.999366 +- 0.00591679      1.7063e-30 +- 3.20239e+12     7.3137e-12 +- 1546.8      0.000633687 +- 0.166227
-0.4     0.1875     0.998144 +- 0.00626644      1.33132e-28 +- 3.83851e+11     3.30515e-10 +- 243.618      0.00185577 +- 0.102907
-0.4     0.2125     0.995349 +- 0.00667857      9.53529e-27 +- 4.83053e+10     1.28627e-08 +- 41.5907      0.00465147 +- 0.0693225
-0.4     0.2375     0.992364 +- 0.0070975      3.6828e-25 +- 8.25406e+09     3.33628e-07 +- 8.67212      0.0076359 +- 0.0575411
-0.4     0.2625     0.989697 +- 0.00760578      1.27527e-23 +- 1.50211e+09     5.18853e-06 +- 2.35494      0.0102977 +- 0.0531318
-0.4     0.2875     0.997957 +- 0.00806352      4.52079e-22 +- 2.68028e+08     4.3694e-05 +- 0.862157      0.0019996 +- 0.12757
-0.4     0.3125     0.998371 +- 0.00860846      4.77163e-21 +- 8.80846e+07     0.000250902 +- 0.384181      0.00137777 +- 0.164038
-0.4     0.3375     0.999057 +- 0.00917667      1.33324e-19 +- 1.7767e+07     0.000943202 +- 0.211334      0  
-0.4     0.3625     0.997387 +- 0.00990045      2.73904e-18 +- 4.22724e+06     0.00261275 +- 0.137048      0  
-0.4     0.3875     0.994555 +- 0.0105376      1.68775e-17 +- 1.81125e+06     0.00544505 +- 0.101114      0  
-0.4     0.4125     0.990289 +- 0.0113274      1.70128e-16 +- 612581     0.00971135 +- 0.0814724      0  
-0.4     0.4375     0.984239 +- 0.0121099      2.94861e-15 +- 157067     0.015761 +- 0.0684696      0  
-0.4     0.4625     0.97728 +- 0.0131005      2.85087e-14 +- 54547.3     0.0227197 +- 0.061793      0  
-0.4     0.4875     0.972018 +- 0.0141223      1.81369e-13 +- 23281.2     0.0279816 +- 0.0600957      0  
-0.4     0.5125     0.966075 +- 0.0151772      1.16598e-12 +- 9852.61     0.033925 +- 0.058733      0  
-0.4     0.5375     0.960796 +- 0.0161457      4.69468e-12 +- 5216.18     0.0392035 +- 0.0581893      0  
